H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,15,0.3,ALL,ALL,4436,1330,3106,,,,,0.0028300358934550455,0.007554148146959904,0.001971201433592749,0.003873592774561156,0.0006792300759618223,0.005938781418824399,0.0011133228291109643,0.002672236248550448,FAIL
0.03,30,0.1,front,front,1109,111,998,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.0066242276200077655,0.010828771839282105,0.003514610183202374,0.0047242969384709635,0.001539857630734044,0.006288155639710911,0.0023500848304624563,0.003392796510442881,FAIL
0.03,30,0.1,mid,mid,1109,111,998,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.005608993484074026,0.008250447985980307,0.0006904027508565948,0.004310162161898355,0.001201256376611172,0.0060332877405154615,0.0006245165112173197,0.0023662234256569903,FAIL
0.03,30,0.1,ALL,ALL,2218,222,1996,,,,,0.006116610552040895,0.009539609912631206,0.002102506467029484,0.004517229550184659,0.001370557003672608,0.006160721690113186,0.001487300670839888,0.002879509968049936,FAIL
0.03,30,0.2,front,front,1109,222,887,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.005072089280506884,0.009863964135376721,0.0036129770367017465,0.004510849421450799,0.0013113412202076795,0.005899677159158555,0.002119339077554954,0.003263578793315593,FAIL
0.03,30,0.2,mid,mid,1109,222,887,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.004297543252831925,0.0076090600246463405,0.0007385127543052644,0.004016529002296328,0.0009683167021967297,0.005914534925182783,0.0006016161266338377,0.0021414174233152926,FAIL
0.03,30,0.2,ALL,ALL,2218,444,1774,,,,,0.004684816266669405,0.00873651208001153,0.0021757448955035054,0.004263689211873563,0.0011398289612022045,0.0059071060421706685,0.0013604776020943957,0.0027024981083154428,FAIL
0.03,30,0.3,front,front,1109,333,776,0.0025553037329455516,0.0068794672978564975,0.0024914032372503254,0.003548775899986678,0.004326056406482569,0.009056763651748389,0.0035333060208807597,0.0042252765098180585,0.0011374873719414889,0.005693695393122947,0.0018734822129648622,0.0032146651263221283,FAIL
0.03,30,0.3,mid,mid,1109,333,776,0.002109553118170596,0.00629072416710089,0.0006314269707938344,0.002626633671269204,0.0036531725198842902,0.007166926398742366,0.0006672112914856067,0.0035313671212663343,0.0007924885906545055,0.005874233244340865,0.0006154124862218161,0.0021225742513720607,FAIL
0.03,30,0.3,ALL,ALL,2218,666,1552,,,,,0.00398961446318343,0.008111845025245378,0.002100258656183183,0.0038783218155421964,0.0009649879812979971,0.005783964318731906,0.0012444473495933392,0.0026686196888470945,FAIL
0.03,60,0.1,front,front,600,60,540,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.008362094944593071,0.011768255099308938,0.0036252419060952778,0.004730761860563441,0.001965627939365113,0.006289148865745956,0.0028392447981701032,0.003333077563951984,FAIL
0.03,60,0.1,mid,mid,600,60,540,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.007470211500755955,0.008350164237174915,0.0008013057358465435,0.004114169498858458,0.001619267387645549,0.0061683147645105515,0.0006640163587383189,0.00243837655692865,FAIL
0.03,60,0.1,ALL,ALL,1200,120,1080,,,,,0.007916153222674513,0.010059209668241927,0.0022132738209709106,0.004422465679710949,0.0017924476635053312,0.006228731815128254,0.001751630578454211,0.002885727060440317,FAIL
0.03,60,0.2,front,front,600,120,480,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.006339783866380445,0.009774045703502944,0.003745008715338116,0.004674009359052912,0.0017427843532968113,0.006158137415274231,0.0026839733660496664,0.003135497053078729,FAIL
0.03,60,0.2,mid,mid,600,120,480,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.0056538664597853795,0.007644765889918953,0.0007171151655689056,0.0038999498013559584,0.0013900716874715503,0.006075095606906985,0.0006691371180738541,0.0022361389663215487,FAIL
0.03,60,0.2,ALL,ALL,1200,240,960,,,,,0.0059968251630829125,0.008709405796710949,0.002231061940453511,0.0042869795802044355,0.0015664280203841808,0.006116616511090607,0.00167655524206176,0.0026858180097001387,FAIL
0.03,60,0.3,front,front,600,180,420,0.0032374087786361375,0.007033047290192755,0.0029275016768090215,0.0034983364342198943,0.005396015826944358,0.009092994424073318,0.0038387800690251415,0.004428972181305214,0.001573157079582576,0.005932381546377713,0.002433393153946863,0.0030114868795177415,FAIL
0.03,60,0.3,mid,mid,600,180,420,0.0028194163654275623,0.006420366729866005,0.0006790203423088825,0.0026543519831156224,0.004803288770241615,0.007405209972896081,0.0007993068550885221,0.0038001284965179655,0.0012052303818069216,0.005947414753929631,0.0006202233137552897,0.001966867140216278,FAIL
0.03,60,0.3,ALL,ALL,1200,360,840,,,,,0.005099652298592987,0.008249102198484699,0.002319043462056832,0.00411455033891159,0.0013891937306947488,0.0059398981501536715,0.0015268082338510762,0.0024891770098670095,FAIL
0.03,120,0.1,front,front,331,33,298,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.012020124759375231,0.013336286844328697,0.0029386584327345698,0.004465729248905724,0.0027137978832799344,0.006568235589698274,0.0030662303771569004,0.0031750683718171227,FAIL
0.03,120,0.1,mid,mid,331,33,298,0.003974077433974625,0.006716621804977591,0.0007320008641900138,0.0026979847660284426,0.010517905919818249,0.00990681638293444,0.0007125894513788206,0.004643030749440389,0.002292659047533033,0.006262632334958646,0.0007341260053464104,0.0023859189572938253,PASS
0.03,120,0.1,ALL,ALL,662,66,596,,,,,0.01126901533959674,0.011621551613631568,0.0018256239420566952,0.004554379999173057,0.002503228465406484,0.00641543396232846,0.0019001781912516553,0.0027804936645554742,FAIL
