H,resample_min,move_pct,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,5,0.2,2025-10-08,154,31,123,0.00041514530057352653,0.0016417695161717219,0.0009984017881840559,0.0009891580865375254,0.00096268404379744,0.0020108191181417074,0.001001439623076377,0.0008133084738201557,0.00042264890894196734,0.0015240038200865522,0.0010130918323991496,0.0010311351797652876,PASS
0.1,5,0.2,2025-10-09,154,31,123,0.00048695616825806875,0.0016316965463112074,0.000824899048659004,0.0009213380736326529,0.0010158589638323025,0.001019240347012338,0.0009798431154875496,0.0008165277280193088,0.00048039805410409603,0.0016120566859895596,0.0007701056249823277,0.0008844340021117201,PASS
0.1,5,0.2,2025-10-10,154,31,123,0.0007700933754308566,0.0019083339444722017,0.0008312540653492834,0.000918931414071486,0.0009839639093717487,0.0014753496651208659,0.0010348076525743951,0.0009935961249087676,0.0009826667110388553,0.0020702117859454938,0.000786831956838102,0.0009172034884615642,PASS
0.1,5,0.2,2025-10-13,154,31,123,0.00048178196278575816,0.003980806799702688,0.0006735560915699642,0.0007603749152707041,0.000956802613050708,0.00401900208124647,0.000829239807085708,0.0007751070535830377,0.0005907476423383575,0.003453028956658542,0.0006473908386825133,0.0007659544410223425,PASS
0.1,5,0.2,2025-10-14,154,31,123,0.0006259665039746915,0.0017967736005042925,0.0008964238741839347,0.0010052743350135599,0.0014319680877431125,0.0018610446055931603,0.0010794339739329602,0.0008605814399807812,0.0007312995383449919,0.001670117153268793,0.0008604042527254905,0.0010543626949406641,PASS
0.1,5,0.2,2025-10-15,154,31,123,0.000640228155177373,0.0013014519216818165,0.0008440415251656205,0.0008305446237576096,0.001267652854809723,0.0016980109652438389,0.0009190965724299649,0.0007667682218150052,0.0007386713513844402,0.0013409644847486692,0.0008148835984101697,0.0008744524926592382,PASS
0.1,5,0.2,2025-10-16,154,31,123,0.00048501799918746104,0.0013793187286000328,0.0010436410503267901,0.0008348507976593492,0.001091985584778774,0.0015508381640713825,0.0012938697907577794,0.0008703675343153755,0.0005646721076298255,0.0012973173482784556,0.0010542157845919822,0.0008388523831674782,MARGINAL
0.1,5,0.2,2025-10-17,154,31,123,0.0027912380969733084,0.005434152106265659,0.0017478885065283685,0.003910618304810913,0.00706529475660479,0.010645941763240577,0.0030781832111813935,0.0035459042774758087,0.004931620196059452,0.005351030049203902,0.0013247165435705571,0.0036020168809960287,FAIL
0.1,5,0.2,2025-10-20,154,31,123,0.0022767765099967557,0.009868315340250195,0.002257262709124331,0.0024400167936363478,0.005576636910694885,0.012013925468929331,0.0045451386347579,0.004159851645099089,0.003987719111111314,0.009306752609408261,0.0012613490789147369,0.0021525241695358435,PASS
0.1,5,0.2,2025-10-21,154,31,123,0.0019461881288788771,0.002328039506441021,0.001167441289450418,0.0011672300949693176,0.004558225634509228,0.004485610453430846,0.0011987673816215051,0.0014721510721772912,0.002130850418889574,0.0024238516366026355,0.0011404892266870682,0.0010203585886942004,MARGINAL
