H,resample_min,expiry,n_bars,rr25_rmse_carry,rr25_dir_carry,rr25_rmse_rough,rr25_dir_rough,rr25_rmse_ar1,rr25_dir_ar1,bf25_rmse_carry,bf25_dir_carry,bf25_rmse_rough,bf25_dir_rough,bf25_rmse_ar1,bf25_dir_ar1,atm_total_var_rmse_carry,atm_total_var_dir_carry,atm_total_var_rmse_rough,atm_total_var_dir_rough,atm_total_var_rmse_ar1,atm_total_var_dir_ar1,rr25_resid_acf,rr25_resid_pval,bf25_resid_acf,bf25_resid_pval,alpha_mean,alpha_cv,gamma_mean,gamma_cv,verdict
0.03,5,2025-08-19,154.0,0.0006276769582303912,0.5197368421052632,0.0016380893069636662,0.4342105263157895,0.0006430718942501869,0.506578947368421,0.0006784502542830631,0.6710526315789473,0.000766099784642901,0.6381578947368421,0.0006231583459308048,0.6118421052631579,1.1469142001734964e-05,0.5666666666666667,1.1469142001734964e-05,0.5666666666666667,1.2525218460130112e-05,0.4768211920529801,0.7769252481273012,6.024248677608067e-32,0.5369265124825885,9.981382551202117e-13,-0.040435916138041886,0.05495806599419091,0.31555841911324173,0.27399174971480117,FAIL
0.03,5,2025-08-20,154.0,0.00041664455877844195,0.5921052631578947,0.002425458037192956,0.506578947368421,0.00041836720319331737,0.5789473684210527,0.0006870677081563875,0.6052631578947368,0.00063767690445378,0.6710526315789473,0.0006123129951543719,0.618421052631579,5.813146744290369e-06,0.5263157894736842,5.813146744290369e-06,0.5263157894736842,5.8786096556755485e-06,0.5,0.9391340495179721,1.7327245990993634e-71,0.33498919324968734,2.4596506575377576e-05,-0.03926985403883336,0.08433885992812634,0.36863243776071736,0.21053471095254647,PASS
0.03,5,2025-08-21,77.0,0.0003834186326017343,0.56,0.0006246682495488913,0.5066666666666667,0.00038237767562819807,0.52,0.0006840417776355017,0.6133333333333333,0.0005377981974266972,0.6666666666666666,0.0006056210361598432,0.68,4.10639114526096e-06,0.5466666666666666,4.10639114526096e-06,0.5466666666666666,4.245466440209427e-06,0.4533333333333333,0.6669309639092779,6.460214379844688e-11,0.16676197773501966,0.1527230184633207,-0.03989922060319697,0.02159023538220755,0.38097727934212305,0.18268432908195856,PASS
0.03,5,ALL,128.33333333333334,0.0006330484333979559,0.5692251461988305,0.002361231263137484,0.5111111111111112,0.0006418747551006722,0.5493713450292398,0.000745689856397039,0.637704678362573,0.0006647479340886237,0.6861842105263157,0.0006577944222303365,0.6686111111111112,8.110025770142927e-06,0.5112280701754387,8.110025770142927e-06,0.5112280701754387,8.371349641941217e-06,0.4785930056930405,0.7701079434659958,2.8608480910144655e-05,0.25951883996760555,0.20072151032231123,-0.04097360043462856,0.06495247132792341,0.3131767234260964,0.21304688541465136,PASS
0.03,15,2025-08-14,26.0,0.0008584143328973198,0.7083333333333334,0.0008236537095636176,0.625,0.0008584143328973198,0.7083333333333334,0.0007447995803303888,0.5833333333333334,0.000759356761935477,0.6666666666666666,0.0007447995803303888,0.5833333333333334,1.3462632498721303e-05,0.625,1.3462632498721303e-05,0.625,1.3462632498721303e-05,0.625,0.16114315798565415,0.45191225388293826,0.4121639415184705,0.045352640881278335,-0.040372468515406705,0.019822383374191205,0.24985828505315905,0.21486064900876306,MARGINAL
0.03,15,2025-08-15,52.0,0.0013756929622469327,0.68,0.0030667488790446723,0.54,0.0013926306808762043,0.68,0.0009416406360826203,0.54,0.0007255789144661797,0.74,0.0009228155778083941,0.56,1.9105419243584118e-05,0.56,1.9105419243584118e-05,0.56,1.9209137780600973e-05,0.54,0.7585242971610215,1.759595716126696e-10,0.0677684479830279,0.6400611667173879,-0.04227988699420849,0.0742190174002848,0.2753082584966801,0.20196296902943614,PASS
0.03,15,2025-08-18,52.0,0.0009060409623786616,0.7,0.005563312769955873,0.52,0.0009230251537952375,0.64,0.000635456729142286,0.5,0.0006857912261754398,0.76,0.000598321994165724,0.68,8.976834024642128e-06,0.46,8.976834024642128e-06,0.46,9.05248059862091e-06,0.48,0.904559663072605,2.1347547504709245e-19,0.48205910681513736,0.00039292531962126123,-0.04365733003916518,0.1311492429138164,0.2963802832756683,0.2085920579829961,FAIL
0.03,15,2025-08-19,52.0,0.0010489714976230915,0.52,0.0017361789789481687,0.44,0.0011729420291286994,0.52,0.0007292227012538223,0.58,0.0007848621117640356,0.68,0.0006817475315977526,0.58,1.876320980587657e-05,0.48,1.876320980587657e-05,0.48,2.0030339866546666e-05,0.4,0.35486691300816076,0.011448150681569017,0.38814929290115796,0.005347281110207812,-0.04050851324162575,0.05342699432184874,0.3198011519858281,0.2750569411741058,FAIL
0.03,15,2025-08-20,52.0,0.000708621602972392,0.52,0.0025593775862133,0.46,0.0007155732098197715,0.52,0.0007046280827589806,0.7,0.0006178439146185648,0.7,0.0006376162999327559,0.72,8.670455601682759e-06,0.42,8.670455601682759e-06,0.42,8.739710994577226e-06,0.42,0.9008624214476787,5.09260469007152e-19,0.2086303872187968,0.14595157378026186,-0.03932251722901391,0.08432420864982401,0.3741123576261351,0.19391488300135468,PASS
0.03,15,2025-08-21,26.0,0.0005683171850858778,0.4583333333333333,0.0007093737379949186,0.5,0.0005683171850858778,0.4583333333333333,0.0007757952898139937,0.7083333333333334,0.0005803808441477488,0.7916666666666666,0.0007757952898139937,0.7083333333333334,5.115956519270522e-06,0.3333333333333333,5.115956519270522e-06,0.3333333333333333,5.115956519270522e-06,0.3333333333333333,0.4530348825671903,0.026205333979021108,-0.07843795572148847,0.7156231771258409,-0.03987903746454691,0.0209501881943633,0.36959652807532045,0.1788956335241266,PASS
